id;title;code;level;level_title;type;level_in_tree;debit_amount;credit_amount;type_in_formula
cb87776a-0651-45ee-b812-b8dbf595a127;ماشین unnecessarily;هر چند تاریک;25821;اوف آرام کردن;Credit;TAFZIL_5;15109.6;13812.36;OWNERS_EQUITY
5f70bd3f-e869-4406-88e1-dd1cd1262978;عالی;کند;2022;محلی با استفاده از روز;Credit;TAFZIL_6;15389.5;5791.05;OWNERS_EQUITY
d5c43a13-9900-4169-8be4-0d8df4b87e34;اَخ خواندن کشاورزی;کامپیوتر اِی وای علمی;17902;sadly با توجه به مرده;Credit;TAFZIL_2;25351.08;16082.31;DIVIDENDS
4f695151-e41b-455a-89fa-f584bc0f40ac;تلخ;آه اِی وای اِی وای;12259;کند;Credit;TAFZIL_4;19662.3;24061.51;ASSETS
c31fba15-f2d1-4eae-a9e5-7592df13cbf9;واو روستایی;و اوف;10436;بارانی باغ زیرا;Debit;GROUP;26996.3;12257.97;EXPENSES
0043a533-c1f6-4070-a50c-bba184c387cb;و;خواندن ورزشی مفید;5956;فهمیدن نزدیک علاوه بر;Debit;GROUP;22220.36;7670.12;ASSETS
621230b4-f170-4007-96b9-39781a77ae3d;مهندس;به طور عمده بودن با استفاده از;15673;صابون با توجه به این که همچنین;Credit;TAFZIL_7;31807.64;16042.22;DIVIDENDS
e951f47c-873c-42af-a4fd-3f6c6af38d92;اوه;کامل خالی دانشگاه;28232;درک کردن بزرگ;Credit;MOAYAN;8074.45;10587.65;REVENUE
e44f357c-4c57-4978-bb4e-6cfa718f2f2b;queasily;آشنا questionably خوشحال;25330;واو کوچک;Debit;TAFZIL_6;18590.78;7610.7;EXPENSES
b7251f66-7e03-4a5d-8ca8-16c3e10bb19a;به هیچ وجه آسمان کوچک;پوشیده;6597;برای با هم;Debit;MOAYAN;21336.79;8492.49;ASSETS
