id;title;code;level;level_title;type;level_in_tree;debit_amount;credit_amount;type_in_formula
259b1a30-fee9-411e-90cb-3866efaec061;تمام کردن آفرین خراب;دست یافتن excitedly;3633;انجام دادن jaggedly همچنین;Credit;TAFZIL_2;4982.33;4111.26;EXPENSES
5d79dded-dc10-449b-b452-97de2e0febf3;وایسا سرد;و تصمیم گرفتن تولیدی;17708;irritably باور نکردن;Credit;TAFZIL_2;15611.18;4588.57;REVENUE
32d7a6d9-aab9-4c25-b43e-82490a221ae6;ماهی اگرچه اِی وای;بازی کردن به‌روز;31651;ماهی وایسا کشاورزی;Debit;TAFZIL_9;12835.18;30520.87;DIVIDENDS
f6601590-a28c-4abb-a849-cdf21eaf998a;لیکن تشویق کردن;ساده;27090;تلخ برخلاف قبل از;Credit;KOL;12905.05;25139.95;REVENUE
bb164f16-ff3d-49b5-bc4d-69c03146bb0e;تا کوهستانی;درست کردن sternly وایسا;23069;میوه آفرین;Credit;TAFZIL_5;9235.22;10480.14;OWNERS_EQUITY
eb1a047f-1af7-4bb5-82a6-3ac6dff2bb12;در برابر;موفق;21345;نوشیدن;Credit;MOAYAN;2553.63;10503.42;ASSETS
9c4e3d23-ab40-4b75-83aa-839e92a6f05d;نازک برخلاف ساختن;اوف;10535;و دیدن;Credit;TAFZIL_2;16664.96;11638.47;OWNERS_EQUITY
fce5235e-bf6f-4c78-95ff-5e5c8ec8660c;یا;تا lively;24172;کامپیوتر;Debit;TAFZIL_5;15695.42;22921.21;ASSETS
203b42e2-c088-4cb4-a36f-9573e8f65d79;بلکه;هورا دشوار کوتاه;11293;بین شنا;Debit;TAFZIL_10;26279.96;18274.41;REVENUE
6b874c20-9b9a-4383-99ed-3affa40a5de5;بعد از;خیابان باور نکردن پرنده;31541;هر چند به هیچ وجه پیراهن;Credit;TAFZIL_3;7673.76;31.38;ASSETS
