id;remain_hours;remain_days;year
c286f412-59c1-4412-96b5-e73a8d0ba7f6;14361;11836;22104
754d7bbf-7fae-4bb6-a293-7ec111ae10ee;5551;24536;26197
8e501d11-c76c-442d-a821-fb4dc4ba9f6f;11575;32018;17612
b78ccf7b-2ba6-4b99-884c-5769b9837d42;14522;6497;16678
7d4727b5-e470-42a3-8a34-e96350d2663b;6921;32569;20160
8af68c7d-635f-4a8e-8008-e68f887ba705;10270;11234;1776
2cfd603d-6139-41b3-8483-12c5b33deb29;31444;15198;15316
33412e59-2c12-4f72-afe8-0210a1a2f62d;31826;712;10676
1598406c-8eea-4987-b7f1-2efb7ad175e7;2826;5429;16296
d1b2d341-c118-4326-bef3-de0cccdbce25;25214;27455;20653
