id;tax_formula;sanavat_formula;year
422fb314-721d-466c-bccc-28449a46d6a6;در کنار و اَخ;برخلاف آفرین;32676
f068e36d-02ae-42cf-bb88-52e645be3d35;آفرین;به عنوان مثال بسته;6540
b096ab86-3b13-4918-94d0-73115a04d037;چشم;excitedly درست کردن ناقص;19988
0da3b93a-6ae1-4885-bb30-e75e789143a7;میان آه;تبلت;599
cec0cd3a-a509-488a-8438-5b59f43468ad;jealously;آهان پایین especially;29090
e72c4757-6197-4d60-981f-51bfa7944c08;شاد broadly;هورا وای;31414
3aaf3fb4-0691-421c-b99c-91de790f723a;آفرین;هر چند;5442
4b4bd37a-e812-4a78-92f7-eb5910be5a12;خورشید دختر;به‌وسیله آفرین needily;7906
065d3168-3134-4190-bad9-c0fe3dab55ee;یا;یا گم شدن همچنین;30559
49dc9432-c369-4280-acee-cb9ddacffa57;خواستن;suddenly;24190
