id;range_from;range_to;jhi_percent;year
24b5b178-0413-48ff-988f-43f8385541f9;20651.34;3236.81;31113;23127
26a06335-f57b-4280-b257-ffbc0c6767e2;16066.51;1726.02;12217;30684
7a12021c-e7d2-47ac-b852-57119b825ce0;28966.59;31541.54;36;6265
a0d4ff80-c07a-4520-86d3-3af0e75c2bed;22218.23;6842.13;6621;25755
284efb49-ab39-4b03-86d1-888f4825d75d;3767.77;32662.01;24242;4913
508a10fd-f463-453b-8863-3ecd7338ae16;9185.44;27920.46;30503;12380
3953a167-8737-482d-a7f5-9119d43c34df;6313.32;28748.63;18592;30963
86a98384-f775-48f1-9822-f7229b933dee;26470.75;16209.07;13687;30222
303678dc-95e3-4598-9087-db1e81151cbe;2486.12;32491.11;5768;21282
63c29859-b81d-4177-8a23-f4f12e23b52b;1977.82;24781.97;31941;29369
