id;issue_date;jhi_desc;year;month
686f5452-8d68-4ea4-a42e-f0eff25fe142;2024-06-09T17:34:17;voluntarily beautifully;28388;626
2e720666-87a5-4001-94d5-38b0be2a2f2e;2024-06-10T11:29:01;تا;21404;31085
b117c7a8-add3-487a-b09c-1948f4b92263;2024-06-10T09:05:27;کارگر فوتبال;32221;13869
34c89f04-75cf-4609-a829-dad32fe72b5b;2024-06-09T19:35:05;به‌وسیله;15865;1813
e09a4926-f986-49e5-b126-63b2f3e26eef;2024-06-09T18:52:57;واکنش نشان دادن;27635;10480
d97da938-c3b6-4ef0-97dd-74306f1dd072;2024-06-09T17:16:07;زیرا ورزشی;32083;9073
8cc95115-1510-4318-ba47-d0971df94f6d;2024-06-09T18:36:59;کلاه;15253;26223
b5723b75-dcc1-45c4-9c69-dc3dc1aa5e4e;2024-06-10T15:39:10;در برابر درباره;5586;31524
8da50bdb-1c8d-4f3b-b90f-cf564d0069d8;2024-06-10T00:03:54;آفرین عادی;15716;32690
a4233a97-e89c-4eb2-8926-2e19bcc502ac;2024-06-10T00:59:27;چون enthusiastically;6623;13491
